Topic,Name,Document,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
91,91_flags_flag_flagquot_symbol,52,52,52,52,52,52
92,92_jailed_sentenced_arrested_detained,52,52,52,52,52,52
93,93_suspended_banned_ban_suspension,52,52,52,52,52,52
94,94_satire_news_article_fake,52,52,52,52,52,52
95,95_scam_promotion_httpsmediumcomgiveawaycom3waystospotafakesocialmediagiveawayandprotectyourselffromscamsde687949b18a_zksync,52,52,52,52,52,52
96,96_speech_clip_applause_biden,51,51,51,51,51,51
97,97_gameplay_game_advertisement_games,51,51,51,51,51,51
98,98_hamas_gaza_raped_accusations,51,51,51,51,51,51
99,99_epstein_epsteins_jeffrey_donald,51,51,51,51,51,51
100,100_phishing_scam_account_hacked,50,50,50,50,50,50
101,101_gambling_promoting_advertisement_gamble,50,50,50,50,50,50
102,102_debates_debate_fox_kamala,50,50,50,50,50,50
103,103_token_musk_tokens_coin,50,50,50,50,50,50
104,104_advertisement_gambling_monetization_promoting,50,50,50,50,50,50
105,105_cgi_animation_video_httpericdemeusycomnewblog2015810videogoestosiggraph,49,49,49,49,49,49
106,106_banks_banking_bank_httpswwwstlouisfedorginplainenglishwhoownsthefederalreservebanks,49,49,49,49,49,49
107,107_scam_scams_giveaways_giveaway,49,49,49,49,49,49
108,108_hostages_hostage_gaza_hamas,48,48,48,48,48,48
109,109_stake_ads_stakeholder_advertisement,48,48,48,48,48,48
110,110_catholics_catholic_pope_papal,48,48,48,48,48,48
111,111_flat_earth_earths_earthers,48,48,48,48,48,48
112,112_animations_animation_likes_liking,47,47,47,47,47,47
113,113_rlpplegiveawaytoday_rlpplegiveawayus_malicious_metamask,47,47,47,47,47,47
114,114_raped_allegations_rape_convicted,47,47,47,47,47,47
115,115_aliveness_alive_dead_died,46,46,46,46,46,46
116,116_tax_taxation_taxes_gains,46,46,46,46,46,46
117,117_borders_border_immigration_cbp,46,46,46,46,46,46
118,118_palestinians_israeli_israels_palestinian,46,46,46,46,46,46
119,119_idf_civilians_hamas_palestinians,45,45,45,45,45,45
120,120_nato_alliance_russia_treaty,45,45,45,45,45,45
121,121_phishing_metamask_malicious_deceptive,45,45,45,45,45,45
122,122_httpsnypostcom20231011bideniveseenpicturesofterroristsbeheadingchildreninisrael_beheaded_decapitations_beheadings,44,44,44,44,44,44
123,123_minaj_nicki_minajs_beyonce,44,44,44,44,44,44
124,124_evidence_sources_contradiction_fact,44,44,44,44,44,44
125,125_medicare_medicaid_medicarequot_httpsdemocratsorgnewsintheirownwordsthegopiscomingaftersocialsecuritymedicare,44,44,44,44,44,44
126,126_schools_tuition_httpswwwstlouisfedorgeducationeconomiclowdownvideoseriesnosuchthingfreelunch_education,44,44,44,44,44,44
127,127_phishing_airdropmantrazonedigital_airdropsdintop_airdropelyusnetwork,44,44,44,44,44,44
128,128_starlink_starlinks_httpswwwpoliticocomnews20240929femastarlinkhelenevictims00181576_httpswwwgeekwirecom2018spacexreorganizesseattlestarlinksatellite,43,43,43,43,43,43
129,129_cancer_cancers_cure_httpswwwmskccorgcancercareintegrativemedicineherbsgraviola,43,43,43,43,43,43
130,130_dropshipping_purchasing_products_reselling,43,43,43,43,43,43
131,131_hitler_adolf_nazis_nazi,43,43,43,43,43,43
132,132_alonso_hamilton_ferrari_prix,43,43,43,43,43,43
133,133_xrpl2025us_fraudulent_livexrp2025today_metamask,42,42,42,42,42,42
134,134_unrwa_hamas_unrwas_httpswwwtelegraphcoukworldnews20240711unrwahas100employeeswhoaremembershamasisrael,42,42,42,42,42,42
135,135_masks_mask_maskless_httpswwwmayoclinicorgdiseasesconditionscoronavirusindepthcoronavirusmaskart20485449,41,41,41,41,41,41
136,136_foia_declassified_httpswwwcnbccom20220826readtrumpraidsearchwarrantaffidavithtml_dossier,41,41,41,41,41,41
137,137_scam_rewardsairdrop_advert_airdropblastuplol,41,41,41,41,41,41
138,138_duchess_elizabeth_royal_princess,41,41,41,41,41,41
139,139_genderaffirming_transgender_gender_adolescents,41,41,41,41,41,41
140,140_hezbollah_beirut_lebanon_lebanese,41,41,41,41,41,41
141,141_phishing_metamask_malicious_deceptive,40,40,40,40,40,40
142,142_discrimination_discriminate_employers_racebased,40,40,40,40,40,40
143,143_sergeant_captain_retired_walz,40,40,40,40,40,40
144,144_engagement_farming_intention_content,40,40,40,40,40,40
145,145_partnership_advertisement_partnerships_stake,40,40,40,40,40,40
146,146_colombia_venezuela_venezuelan_haiti,38,38,38,38,38,38
147,147_slavery_slaves_slave_colonies,38,38,38,38,38,38
148,148_tiktok_tiktoks_tiktokcom_oftiktok,38,38,38,38,38,38
149,149_magazine_2025_httpswwwbusinessinsidercomdonaldtrumploseroftheyearderspiegelmagazinetime202012_2022,37,37,37,37,37,37
150,150_scam_tate_scams_tates,37,37,37,37,37,37
151,151_katy_katys_perry_perrys,37,37,37,37,37,37
152,152_httpsenmwikipediaorgwikilistofbooksbannedbygovernments_books_banning_httpswwwsnopescomnews20230524amandagormanbookfloridaschoolban,37,37,37,37,37,37
153,153_reported_spam_inappropriate_violates,37,37,37,37,37,37
154,154_abortion_abortions_veto_ban,36,36,36,36,36,36
155,155_nicotine_tobacco_vaping_cigarettes,36,36,36,36,36,36
156,156_murderer_suspect_terrorist_bondi,36,36,36,36,36,36
157,157_seungri_accused_allegations_raped,36,36,36,36,36,36
158,158_transwomen_transgender_transphobia_transphobic,35,35,35,35,35,35
159,159_fluoridation_fluoride_fluoridated_httpswwwadaorgaboutpressreleasescommunitywaterfluoridationatoptimallevelsissafeandeffective,35,35,35,35,35,35
160,160_easter_httpswwwpbsorgnewshournationthehistorybehindinternationaltransgenderdayofvisibility_transgender_celebrated,35,35,35,35,35,35
161,161_zelenskyy_zelensky_zelenskys_zelenska,35,35,35,35,35,35
162,162_gaza_bombed_hamas_casualties,35,35,35,35,35,35
163,163_likes_liking_likingunliking_httpswwwsnopescomfactchecktwitterlikebutton,34,34,34,34,34,34
164,164_president_trump_presidentquot_donald,34,34,34,34,34,34
165,165_scam_scamming_scammingphishing_scams,34,34,34,34,34,34
166,166_polls_polling_voters_httpswwwwashingtonpostcompolitics20240308rasmussen538polling,34,34,34,34,34,34
167,167_aliexpress_dropshipping_marketing_counterfeit,34,34,34,34,34,34
168,168_advertisement_gambling_promoting_advertising,34,34,34,34,34,34
169,169_homicides_children_accidents_adolescents,33,33,33,33,33,33
170,170_her_httpspeoplecommoviesannakendrickhowpersonalexperienceemotionalabuseledtonewmovieexclusive_abused_abusive,33,33,33,33,33,33
171,171_rocket_starships_falcon_starship,33,33,33,33,33,33
172,172_palestinian_maccabi_israeli_aviv,33,33,33,33,33,33
173,173_justices_judiciaryquot_judiciary_kavanaugh,33,33,33,33,33,33
174,174_electoral_presidential_biden_presidency,33,33,33,33,33,33
175,175_hamas_gaza_hospitals_palestinian,33,33,33,33,33,33
176,176_grassfoundatonorg_wwwgrassfoundationus_phishing_grassfoundationin,33,33,33,33,33,33
177,177_staged_video_livestreamers_videos,33,33,33,33,33,33
178,178_reza_iranian_shah_iranians,33,33,33,33,33,33
179,179_allegations_accusations_untrue_sources,33,33,33,33,33,33
180,180_holocaust_auschwitz_auschwitzquot_camps,33,33,33,33,33,33
181,181_xrpl2025us_phishing_xrpxio_metamask,32,32,32,32,32,32
182,182_dropshipping_marketed_suppliers_inventory,32,32,32,32,32,32
183,183_bbccom_clickbait_bbc_scam,31,31,31,31,31,31
184,184_aliexpress_dropshipping_claims_marketing,31,31,31,31,31,31
185,185_tweet_fraudulent_dropshipping_advertisers,31,31,31,31,31,31
186,186_drone_drones_ufo_flying,31,31,31,31,31,31
187,187_advertisement_shark_advertiser_advertised,31,31,31,31,31,31
188,188_postsreplies_report_linked_assets,31,31,31,31,31,31
189,189_depp_defamation_depps_allegations,31,31,31,31,31,31
190,190_debt_deficit_trillion_fiscal,31,31,31,31,31,31
191,191_audio_fake_httpsapnewscomarticlefactchecktitanicsubmersibleaudiobanging506912778660_video,31,31,31,31,31,31
192,192_metamask_malicious_deceptive_threats,30,30,30,30,30,30
193,193_tax_emissions_taxes_carbon,30,30,30,30,30,30
194,194_kamala_indian_harris_harriss,30,30,30,30,30,30
195,195_xrpgiveawayus_metamask_malicious_deceptive,30,30,30,30,30,30
196,196_grave_buried_palestinians_graves,30,30,30,30,30,30
197,197_rape_rapes_raperelated_violence,30,30,30,30,30,30
198,198_moon_lunar_apollo_moonlandings,30,30,30,30,30,30
199,199_governor_candidates_elected_nomination,29,29,29,29,29,29
200,200_phishing_malicious_threats_metamask,29,29,29,29,29,29
201,201_kosovo_kosovoalbanians_kosovos_kosovometohija,29,29,29,29,29,29
202,202_justinsuntron_justin_impersonating_account,29,29,29,29,29,29
203,203_election_voters_voter_fraud,29,29,29,29,29,29
204,204_yemens_yemen_yemeni_houthis,29,29,29,29,29,29
205,205_pepe_frog_pepecoineth_apu,29,29,29,29,29,29
206,206_loans_repayment_loan_loansquot,29,29,29,29,29,29
207,207_insulin_diabetics_medicare_httpswwwuptodatecomcontentstype1diabetesinsulintreatmentbeyondthebasics,29,29,29,29,29,29
208,208_gambling_advertisements_advertisement_ads,28,28,28,28,28,28
209,209_stake_gambling_httpshelpxcomenrulesandpoliciespaidpartnerships_advert,28,28,28,28,28,28
210,210_harris_border_czar_gonzales,28,28,28,28,28,28
211,211_gaza_gazas_gazans_palestinians,28,28,28,28,28,28
212,212_nutritionally_diet_foods_meat,28,28,28,28,28,28
213,213_graph_chart_plotted_axis,28,28,28,28,28,28
214,214_advertisement_ads_ad_clickbait,28,28,28,28,28,28
215,215_gesture_gesturing_salute_elon,28,28,28,28,28,28
216,216_gambling_rainbet_advertisement_casino,28,28,28,28,28,28
217,217_suicides_suicidal_suicide_httpswwwcdcgovsuicidesuicidedatastatisticshtml,28,28,28,28,28,28
218,218_phishing_malicious_metamask_deceptive,27,27,27,27,27,27
219,219_cbc_broadcasting_npr_httpswwwinfluencewatchorgnonprofitnationalpublicradionpr,27,27,27,27,27,27
220,220_earthquakes_earthquake_seismic_predictions,27,27,27,27,27,27
221,221_secularism_christian_christianity_christians,27,27,27,27,27,27
222,222_hamas_hamass_terrorist_isis,27,27,27,27,27,27
223,223_britain_mauritius_scotland_islands,27,27,27,27,27,27
224,224_scam_scamming_scams_video,27,27,27,27,27,27
225,225_scam_teslafinancepromoinfo_scams_tesla,27,27,27,27,27,27
226,226_shirt_cristiano_uefa_ronaldos,27,27,27,27,27,27
227,227_outage_crowdstrikes_httpswwwwiredcomstorycrowdstrikeoutageupdatewindows_crowdstrike,27,27,27,27,27,27
228,228_explosion_explosions_explode_fireworks,27,27,27,27,27,27
229,229_desantis_soros_ambassador_nominee,27,27,27,27,27,27
230,230_tate_scam_scamwarning_tates,27,27,27,27,27,27
231,231_google_googlecom_seo_searches,27,27,27,27,27,27
232,232_aboriginal_indigenous_maori_australians,27,27,27,27,27,27
233,233_gambling_advertisement_monetization_ads,26,26,26,26,26,26
234,234_tesla_promotions_scam_teslas,26,26,26,26,26,26
235,235_menstruation_menstruate_menstrual_periods,26,26,26,26,26,26
236,236_starbucks_httpswwwbusinessinsidercompoliticiansceosuccessfulpeoplewhoworkedatmcdonalds_mcdonald_mcdonalds,26,26,26,26,26,26
237,237_statue_statues_sculpture_satanic,26,26,26,26,26,26
238,238_tates_tate_diicot_dismissed,26,26,26,26,26,26
239,239_bloodbath_bloodbathquot_automobile_ford,26,26,26,26,26,26
240,240_advertisement_ads_stake_gambling,25,25,25,25,25,25
241,241_partnership_partnerships_promoting_casino,25,25,25,25,25,25
242,242_french_france_une_etre,25,25,25,25,25,25
243,243_puerto_rico_ricans_ricoquot,25,25,25,25,25,25
244,244_phishing_dbbtcagentio_malicious_deceptive,25,25,25,25,25,25
245,245_fish_httpswwwsnugaquariumnetcanfishlovetheirownersutmcontentcmptrue_httpspethelpfulcomfishaquariumsreasonstropicalaquariumfishdie_oarfish,25,25,25,25,25,25
246,246_climate_climaterelated_warming_co2,25,25,25,25,25,25
247,247_nina_impersonating_impersonator_accounts,25,25,25,25,25,25
248,248_scam_crypto_httpswwwnasdaqcomarticlesthisishowscammerscandrainyourcryptowallet_httpswwwchainalysiscomblogcryptodrainers,25,25,25,25,25,25
249,249_japan_tokyo_japanese_prefecture,25,25,25,25,25,25
250,250_soviets_ussr_soviet_ussrs,25,25,25,25,25,25
251,251_rally_crowd_trump_inauguration,25,25,25,25,25,25
252,252_ceasefire_ceasefirequot_hamas_gaza,25,25,25,25,25,25
253,253_wrestlemania_wrestler_cena_wwe,25,25,25,25,25,25
254,254_syria_syrian_damascus_assad,24,24,24,24,24,24
255,255_democracy_democratic_republic_httpswwwheritageorgamericanfoundersreportamericarepublicnotdemocracy,24,24,24,24,24,24
256,256_blackmail_blackmailing_compromised_hacked,24,24,24,24,24,24
257,257_account_zssbecker_impersonating_user,24,24,24,24,24,24
258,258_arrests_suspects_arrested_police,24,24,24,24,24,24
259,259_iq_average_intelligence_httpsenwikipediaorgwikikokogorillaintelligence,24,24,24,24,24,24
260,260_argentinian_argentine_argentina_argentinas,24,24,24,24,24,24
261,261_harris_kamala_cheney_candidate,24,24,24,24,24,24
262,262_scam_scammy_scams_crypto,23,23,23,23,23,23
263,263_advertisement_gambling_casino_ads,23,23,23,23,23,23
264,264_cryptocurrency_pump_crypto_httpswwwfoolcominvestingstockmarketmarketsectorsfinancialscryptocurrencystockshowtospotcryptoscam,23,23,23,23,23,23
265,265_logan_dillon_logans_ufc,23,23,23,23,23,23
266,266_gambling_promoting_stake_ad,23,23,23,23,23,23
267,267_scammer_scams_crypto_shill,23,23,23,23,23,23
268,268_falling_liam_fell_video,23,23,23,23,23,23
269,269_biden_bidenquot_candidate_presidential,23,23,23,23,23,23
270,270_caravan_migrant_honduras_border,23,23,23,23,23,23
271,271_zionism_zionism1_zionists_antisemitism,23,23,23,23,23,23
272,272_neanderthalensis_neanderthal_sapiens_herbivores,23,23,23,23,23,23
273,273_dreams_dream_allegations_speculations,23,23,23,23,23,23
274,274_urinals_toilets_restroom_urine,23,23,23,23,23,23
275,275_bethlehem_palestine_galilee_palestinian,22,22,22,22,22,22
276,276_homosexual_heterosexuality_gay_homophobic,22,22,22,22,22,22
277,277_spam_scam_accounts_fake,22,22,22,22,22,22
278,278_pudgypenguins_account_user_impersonating,22,22,22,22,22,22
279,279_babydogecoin_xcombabydogecoin_httpsxcomdogecoin_httpsxcombabydogecoin,22,22,22,22,22,22
280,280_gambling_advertisement_advertisment_prohibits,22,22,22,22,22,22
281,281_maps_map_httpsmapsappgoogllbhugocchznet8746_location,22,22,22,22,22,22
282,282_fentanyl_carfentanil_opioids_opioid,22,22,22,22,22,22
283,283_earthquake_earthquakes_tsunami_quake,22,22,22,22,22,22
284,284_sicknick_died_murdered_autopsy,22,22,22,22,22,22
285,285_shooting_shootings_firearm_guns,22,22,22,22,22,22
286,286_tweet_onlyfans_onlyfan_promote,22,22,22,22,22,22
287,287_expulsion_expulsions_expelled_tennessee,22,22,22,22,22,22
288,288_pardons_pardoned_pardon_convictions,22,22,22,22,22,22
289,289_starmer_jewish_httpshumanistsuk20240705nonreligiousprimeministersahistory_judaism,22,22,22,22,22,22
290,290_stake_partnership_partnerships_gamble,22,22,22,22,22,22
291,291_hurricane_landfall_storm_flooding,21,21,21,21,21,21
292,292_gamble_gambling_ads_stake,21,21,21,21,21,21
293,293_twitters_profiles_accounts_account,21,21,21,21,21,21
294,294_brazilian_portuguese_alexandre_brazil,21,21,21,21,21,21
295,295_qaeda_osama_laden_terrorists,21,21,21,21,21,21
296,296_extraterrestrial_aliens_ufo_hoax,21,21,21,21,21,21
297,297_scammer_scamming_scammed_account,21,21,21,21,21,21
298,298_medicalhealth_physicians_patients_med,21,21,21,21,21,21
299,299_elections_ukraine_ukrainian_ukrainians,21,21,21,21,21,21
300,300_holidays_holiday_httpswwwblackhistorymonthorgukarticlelistingsregionliverpoolslaveryremembranceday_thanksgiving,21,21,21,21,21,21
301,301_scientific_httpsjournalsphysiologyorgdoifull101152physiol000242019_journals_scientifically,21,21,21,21,21,21
302,302_stake_gambling_stakesponsored_tos,21,21,21,21,21,21
303,303_tesla_scam_musk_teslatesla,20,20,20,20,20,20
304,304_supper_dionysus_vinci_depiction,20,20,20,20,20,20
305,305_palestinian_palestinians_flag_palestine,20,20,20,20,20,20
306,306_supremacists_httpswwwsnopescomfactchecktrumpveryfinepeople_nazis_supremacist,20,20,20,20,20,20
307,307_lie_lied_lies_lying,20,20,20,20,20,20
308,308_instagram_photos_twittercom_engagement,20,20,20,20,20,20
309,309_phishing_scrollpumpus_scrollpumplol_cryptoscrollcom,20,20,20,20,20,20
310,310_phishing_appbtcagentio_malicious_httpsweb3antivirusioscamreportid522729,20,20,20,20,20,20
311,311_bipartisan_border_congress_senate,20,20,20,20,20,20
312,312_iranian_iran_iranthese_sanctions,20,20,20,20,20,20
313,313_aspartame_carcinogenic_harmful_fda,20,20,20,20,20,20
314,314_antisemitism_antisemitic_jews_semitic,20,20,20,20,20,20
315,315_congress_legislative_legislation_bill,20,20,20,20,20,20
316,316_taliban_kabul_talibanquot_afghan,20,20,20,20,20,20
317,317_scam_promotion_tesla_fake,19,19,19,19,19,19
318,318_5g_3g_4g_5gs,19,19,19,19,19,19
319,319_accounts_spam_account_profiles,19,19,19,19,19,19
320,320_swastika_swastikas_symbol_hindu,19,19,19,19,19,19
321,321_gambling_advertisement_promoting_stake,19,19,19,19,19,19
322,322_communism_communist_communists_capitalist,19,19,19,19,19,19
323,323_song_lyrics_sang_album,19,19,19,19,19,19
324,324_farmingplatform_tos_farming_engagement,19,19,19,19,19,19
325,325_milk_lactose_listeria_harmful,19,19,19,19,19,19
326,326_venezuelan_venezuela_maduro_dictator,19,19,19,19,19,19
327,327_cat_kitten_cats_kittens,19,19,19,19,19,19
328,328_photo_photograph_1939_depicts,19,19,19,19,19,19
329,329_transwomen_sports_athletes_sporting,19,19,19,19,19,19
330,330_deportation_deportations_deported_deporting,19,19,19,19,19,19
331,331_loan_loans_repayment_biden,18,18,18,18,18,18
332,332_phishing_solayerfoundationbet_metamask_solayerfoundationlive,18,18,18,18,18,18
333,333_scam_scams_account_httpstrezoriosupportaairdropscamtokens,18,18,18,18,18,18
334,334_marriages_homosexuality_marriage_httpsenmwikipediaorgwikirecognitionofsamesexunionsinisrael,18,18,18,18,18,18
335,335_prices_pricing_priced_lowerpriced,18,18,18,18,18,18
336,336_tweets_tweeting_shes_send,18,18,18,18,18,18
337,337_usaid_usaids_httpswwwscribdcomdocument366566650companiesforsic8888foreigngovernments_httpsadstorg202106americanpeoplesforeignpolicyusaidsroleinapartheidsouthafrica,18,18,18,18,18,18
338,338_grades_education_httpswwwtimeshighereducationcomworlduniversityrankings2023worldranking_httpswwwtimeshighereducationcomworlduniversityrankings2019worldranking,18,18,18,18,18,18
339,339_scam_scammers_scams_frauds,18,18,18,18,18,18
340,340_haley_nikki_punjabi_haleys,18,18,18,18,18,18
341,341_cryptobeastreal_scammer_scam_cryptoeternalai,18,18,18,18,18,18
342,342_eurovision_europapa_croatia_iceland,18,18,18,18,18,18
343,343_profiles_accounts_inappropriate_unfollow,18,18,18,18,18,18
344,344_pronouns_pronoun_gender_httpswwwthelistcom781134whatarejonathanvannesspronouns,18,18,18,18,18,18
345,345_clip_context_quoted_httpsabcnewsgocomamppoliticsbidendismissesconcernsmentalfitnessheddroplordstoryid111695174,18,18,18,18,18,18
346,346_cn_cns_disagreement_opinionated,18,18,18,18,18,18
347,347_decriminalization_cannabis_decriminalize_marijuana,17,17,17,17,17,17
348,348_protests_misconduct_students_campus,17,17,17,17,17,17
349,349_tos_mailing_engagement_promises,17,17,17,17,17,17
350,350_co2_warming_climate_climatequot,17,17,17,17,17,17
351,351_doxxing_doxxed_doxxer_dox,17,17,17,17,17,17
352,352_photo_2020_2021_2024,17,17,17,17,17,17
353,353_apartheid_africa_mandela_boers,17,17,17,17,17,17
354,354_scammer_spamming_giveaways_engagementfollower,17,17,17,17,17,17
355,355_advertisement_gambling_advertising_clickbait,17,17,17,17,17,17
356,356_earthquakes_earthquake_earthquakeprediction_earthquakerelated,17,17,17,17,17,17
357,357_dropshipping_aliexpress_quotdropshippingquot_video,17,17,17,17,17,17
358,358_africa_continent_continents_mozambique,17,17,17,17,17,17
359,359_puberty_httpswwwhealthlinecomhealtharepubertyblockersreversible_hormones_testosterone,17,17,17,17,17,17
360,360_defamation_sue_suing_sued,17,17,17,17,17,17
361,361_homelessness_homeless_shelters_shelter,17,17,17,17,17,17
362,362_lauren_boebert_worth_billionaire,17,17,17,17,17,17
363,363_scam_tesla_promotions_teslas,17,17,17,17,17,17
364,364_wtc_towers_demolition_911,17,17,17,17,17,17
365,365_clickbait_quotclickbaitquot_httpseswikipediaorgwikiclickbait_httpsenwikipediaorgwikiclickbait,16,16,16,16,16,16
366,366_arrest_warrant_warrants_warrantsquot,16,16,16,16,16,16
367,367_earthquake_forecasts_httpsscienceexchangecaltechedutopicsearthquakesearthquakesprobabilities_predictions,16,16,16,16,16,16
368,368_earthquakes_earthquake_predictions_scientists,16,16,16,16,16,16
369,369_hacked_compromised_account_scam,16,16,16,16,16,16
370,370_budget_blockbuster_film_cost,16,16,16,16,16,16
371,371_raped_rape_rapist_assaulted,16,16,16,16,16,16
