Topic,Name,Document,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
69,69_notes_community_note_quotnotequot,29,29,29,29,29,29
70,70_president_presidents_presidencys_trump,28,28,28,28,28,28
71,71_opinionasking_author_authors_writer,27,27,27,27,27,27
72,72_satirical_satire_satirejokes_satiricaljoking,27,27,27,27,27,27
73,73_birdwatch_birdwatcher_birdwatchtwittercom_httpsblogtwittercomenustopicsproduct2021introducingbirdwatchacommunitybasedapproachtomisinformation,26,26,26,26,26,26
74,74_context_nnn_quotcontextualquot_needed,26,26,26,26,26,26
75,75_2025_2025quot_2022_trump,26,26,26,26,26,26
76,76_satire_satirical_clearly_nnn,26,26,26,26,26,26
77,77_opinions_debating_opinionquot_arguments,26,26,26,26,26,26
78,78_characters_marvel_character_comics,25,25,25,25,25,25
79,79_climate_warming_co2_hoax,25,25,25,25,25,25
80,80_nnn_joke_clearly_nnnclearly,24,24,24,24,24,24
81,81_tory_parliamentary_parliament_ministerquot,24,24,24,24,24,24
82,82_report_violate_violates_violations,24,24,24,24,24,24
83,83_migrants_asylum_immigration_migrant,23,23,23,23,23,23
84,84_tweet_tweets_notes_twitter,23,23,23,23,23,23
85,85_opinion_nnn_personal_his,23,23,23,23,23,23
86,86_commentrepost_nnn_comments_comment,23,23,23,23,23,23
87,87_joke_nnn_joking_reposting,23,23,23,23,23,23
88,88_meme_memes_notes_community,23,23,23,23,23,23
89,89_notes_nnn_community_abusing,23,23,23,23,23,23
90,90_pride_topless_naked_wear,22,22,22,22,22,22
91,91_advertisements_advertisement_advertising_ads,22,22,22,22,22,22
92,92_iphone_ios_iphones_phones,22,22,22,22,22,22
93,93_shooter_shot_bullet_httpswwwnbcnewscompoliticspoliticsnewstrumprallyshooteridentifiedrcna161757,22,22,22,22,22,22
94,94_ireland_irish_dublin_scottish,22,22,22,22,22,22
95,95_latitude_disneyland_geolocation_orlando,21,21,21,21,21,21
96,96_tweet_tweeter_misleading_misinterpreted,21,21,21,21,21,21
97,97_conclusions_findings_studies_assess,19,19,19,19,19,19
98,98_nnn_joke_jokes_clearly,19,19,19,19,19,19
99,99_censorship_speech_freedom_censor,19,19,19,19,19,19
100,100_raven_ravenquot_rabbit_desert,19,19,19,19,19,19
101,101_replies_replying_asks_answers,18,18,18,18,18,18
102,102_dropshipping_dropshipper_dropshipped_dropshopping,18,18,18,18,18,18
103,103_trump_hannity_quote_gop,18,18,18,18,18,18
104,104_fastest_speed_fast_100mph,18,18,18,18,18,18
105,105_stake_ad_advertisement_ads,18,18,18,18,18,18
106,106_died_sicknick_autopsy_homicide,18,18,18,18,18,18
107,107_fires_wildfires_fire_arson,17,17,17,17,17,17
108,108_headline_headlines_article_journalism,17,17,17,17,17,17
109,109_wikipedia_httpsenwikipediaorgwikiwikipediawikipediaisnotareliablesource_wiki_httpsenwikipediaorgwikialangarbercitenote2,17,17,17,17,17,17
110,110_advertisement_advert_ads_promoting,17,17,17,17,17,17
111,111_explosion_explosions_explosives_explosive,17,17,17,17,17,17
112,112_breastmilk_milk_breastfeeding_breast,17,17,17,17,17,17
113,113_eu_european_europes_eurozone,17,17,17,17,17,17
114,114_map_maps_meridians_httpsgeologycomworldworldmapshtml,16,16,16,16,16,16
115,115_clouds_rainfall_precipitation_meteorology,16,16,16,16,16,16
116,116_nnn_joke_im_well,16,16,16,16,16,16
117,117_sergeant_walz_sargent_retired,16,16,16,16,16,16
118,118_lied_lies_liar_trump,16,16,16,16,16,16
119,119_hacked_cybersecurity_tampering_securitycyber,16,16,16,16,16,16
120,120_slavery_slaves_slave_abolitionist,16,16,16,16,16,16
121,121_nnn_joke_clearly_jokeedited,15,15,15,15,15,15
122,122_comedy_legal_twitter_twittercom,15,15,15,15,15,15
123,123_rumor_rumors_rumours_rumour,15,15,15,15,15,15
124,124_musk_musks_contributors_notes,15,15,15,15,15,15
125,125_phosphorus_ammunition_explosive_shells,15,15,15,15,15,15
126,126_carlson_tucker_tuckers_subjective,15,15,15,15,15,15
127,127_nnn_answer_answered_respond,15,15,15,15,15,15
128,128_snopes_reuters_sources_msnbc,14,14,14,14,14,14
129,129_twitterx_twitter_elon_musk,14,14,14,14,14,14
130,130_notes_note_community_nnn,14,14,14,14,14,14
131,131_alleged_fabricated_allegedallegedly_reportedly,14,14,14,14,14,14
132,132_notes_rhetoric_discussion_disagreement,14,14,14,14,14,14
133,133_patients_medical_hipaa_physician,13,13,13,13,13,13
134,134_joke_nnn_stannews_clearly,13,13,13,13,13,13
135,135_satire_satirical_nnn_nnnclearly,13,13,13,13,13,13
136,136_citizenship_citizens_citizen_naturalization,13,13,13,13,13,13
137,137_salvador_spaniards_haiti_hispaniola,12,12,12,12,12,12
138,138_facetious_slang_meaning_httpswwwmerriamwebstercomdictionaryfacetious,12,12,12,12,12,12
139,139_groundwater_httpswwwimoorgenourworkenvironmentpagesballastwatermanagementaspx_water_quotwater,11,11,11,11,11,11
140,140_ban_bans_unbanned_banned,11,11,11,11,11,11
141,141_appapp_apps_ios_app,11,11,11,11,11,11
142,142_tiktok_tiktoks_quottiktok_restrictions,11,11,11,11,11,11
143,143_nnn_post_exactly_says,11,11,11,11,11,11
144,144_true_really_fact_right,11,11,11,11,11,11
145,145_marines_military_soldier_peacekeeping,10,10,10,10,10,10
146,146_satirical_satire_nnn_clearly,10,10,10,10,10,10
147,147_notes_noter_complaint_writing,10,10,10,10,10,10
